parish,district,total_reg,white_reg,black_reg,other_reg,black_pct,dem_pct,rep_pct,rei_parish,partisan_lean
ACADIA,3,37984,30824,6351,809,16.72,29.27,46.02,-14.5,LEAN R
ALLEN,3,12293,9617,2127,549,17.3,31.2,45.18,-13.92,LEAN R
ASCENSION,5,84403,58527,20936,4940,24.8,29.86,41.14,-6.42,LEAN R
ASSUMPTION,6,13919,9353,4311,255,30.97,45.39,33.19,-0.25,LEAN D
AVOYELLES,5,22997,16080,6243,674,27.15,38.72,36.85,-4.07,LEAN D
BEAUREGARD,3,23264,19619,2349,1296,10.1,18.03,51.67,-21.12,LEAN R
BIENVILLE,4,8689,4731,3836,122,44.15,44.18,35.12,12.93,LEAN D
BOSSIER,4,76047,54127,16807,5113,22.1,23.37,46.92,-9.12,LEAN R
CADDO,4,151248,71992,71652,7604,47.37,44.31,28.64,16.15,LEAN D
CALCASIEU,3,123696,87027,30452,6217,24.62,30.14,39.81,-6.6,LEAN R
CALDWELL,5,5922,5081,743,98,12.55,22.68,52.94,-18.67,LEAN R
CAMERON,3,4358,4177,73,108,1.68,21.43,52.62,-29.54,LEAN R
CATAHOULA,5,6062,4339,1667,56,27.5,35.96,42.18,-3.72,LEAN R
CLAIBORNE,4,8363,4547,3663,153,43.8,39.34,36.1,12.58,LEAN D
CONCORDIA,5,12018,7115,4678,225,38.92,41.67,35.8,7.7,LEAN D
DE SOTO,4,19663,12125,6880,658,34.99,35.71,40.92,3.77,LEAN R
EAST BATON ROUGE,5,287352,139083,128784,19485,44.82,44.17,27.63,13.6,LEAN D
EAST CARROLL,6,4652,1250,3358,44,72.18,62.58,17.26,40.96,STRONG D
EAST FELICIANA,6,13529,8031,5044,454,37.28,39.86,37.09,6.06,LEAN D
EVANGELINE,3,20680,14479,5794,407,28.02,39.6,39.03,-3.2,LEAN D
FRANKLIN,5,13185,8958,4094,133,31.05,33.85,45.09,-0.17,LEAN R
GRANT,5,12945,11402,1169,374,9.03,19.88,52.83,-22.19,LEAN R
IBERIA,3,43337,27132,14132,2073,32.61,34.31,38.09,1.39,LEAN R
IBERVILLE,6,20345,10014,9845,486,48.39,53.95,23.99,17.17,STRONG D
JACKSON,4,9593,6760,2622,211,27.33,31.65,46.3,-3.89,LEAN R
JEFFERSON,1,266717,155993,72043,38681,27.01,35.56,32.04,-4.21,COMPETITIVE
JEFFERSON DAVIS,3,20734,16961,3207,566,15.47,27.25,44.43,-15.75,LEAN R
LAFAYETTE,3,161652,113561,38336,9755,23.72,28.21,41.58,-7.5,LEAN R
LAFOURCHE,2,57771,47898,6949,2924,12.03,25.85,45.16,-19.19,LEAN R
LASALLE,5,8637,7853,600,184,6.95,17.88,60.57,-24.27,LEAN R
LINCOLN,4,27280,16767,9414,1099,34.51,33.45,39.11,3.29,LEAN R
LIVINGSTON,5,87823,77046,7106,3671,8.09,17.0,54.02,-23.13,LEAN R
MADISON,5,7167,2388,4666,113,65.1,54.51,22.19,33.88,STRONG D
MOREHOUSE,4,16728,8306,8090,332,48.36,42.98,33.03,17.14,LEAN D
NATCHITOCHES,5,23018,12800,9140,1078,39.71,39.95,33.17,8.49,LEAN D
ORLEANS,2,263872,96410,142155,25307,53.87,62.0,9.47,22.65,STRONG D
OUACHITA,5,102105,61486,36716,3903,35.96,34.37,39.33,4.74,LEAN R
PLAQUEMINES,1,14020,9395,3171,1454,22.62,32.62,39.24,-8.6,LEAN R
POINTE COUPEE,6,14697,9367,5061,269,34.44,44.44,32.24,3.22,LEAN D
RAPIDES,5,80610,52864,23933,3813,29.69,32.3,40.24,-1.53,LEAN R
RED RIVER,4,5468,3021,2352,95,43.01,45.39,34.67,11.79,LEAN D
RICHLAND,5,13743,8540,4931,272,35.88,33.58,42.14,4.66,LEAN R
SABINE,4,13539,10286,1865,1388,13.78,24.71,51.42,-17.44,LEAN R
ST. BERNARD,1,27156,18318,6507,2331,23.96,36.25,28.33,-7.26,COMPETITIVE
ST. CHARLES,2,35340,24255,8862,2223,25.08,31.78,39.96,-6.14,LEAN R
ST. HELENA,6,8520,3777,4595,148,53.93,55.6,25.49,22.71,STRONG D
ST. JAMES,2,14866,7202,7409,255,49.84,57.01,25.14,18.62,STRONG D
ST. JOHN THE BAPTIST,2,28471,9138,17570,1763,61.71,58.2,16.64,30.49,STRONG D
ST. LANDRY,3,55035,30159,23323,1553,42.38,45.27,30.72,11.16,LEAN D
ST. MARTIN,3,35248,24089,10245,914,29.07,35.58,39.15,-2.15,LEAN R
ST. MARY,3,30400,18520,10051,1829,33.06,34.85,35.39,1.84,COMPETITIVE
ST. TAMMANY,1,194261,154549,25614,14098,13.19,20.55,47.47,-18.03,LEAN R
TANGIPAHOA,1,80128,55346,21348,3434,26.64,30.73,40.05,-4.58,LEAN R
TENSAS,5,3156,1368,1755,33,55.61,56.62,27.0,24.39,STRONG D
TERREBONNE,2,59844,43870,10990,4984,18.36,25.26,43.99,-12.86,LEAN R
UNION,4,15273,11184,3567,522,23.35,28.16,48.31,-7.87,LEAN R
VERMILION,3,38064,31375,5209,1480,13.68,27.61,44.45,-17.54,LEAN R
VERNON,6,25411,20049,3114,2248,12.25,20.75,48.04,-18.97,LEAN R
WASHINGTON,1,28221,19185,8292,744,29.38,35.29,38.51,-1.84,LEAN R
WEBSTER,4,22569,14894,7129,546,31.59,33.54,41.3,0.37,LEAN R
WEST BATON ROUGE,6,17769,9958,7340,471,41.31,43.62,30.58,10.09,LEAN D
WEST CARROLL,6,6987,5841,1052,94,15.06,22.77,52.8,-16.16,LEAN R
WEST FELICIANA,6,7834,5521,2150,163,27.44,33.18,43.03,-3.78,LEAN R
WINN,5,8204,5870,2190,144,26.69,31.17,41.69,-4.53,LEAN R
